locality_full,school_name,level,distance_km_est
"DHA Defence, Lahore, Punjab",Lahore Grammar School DHA,O/A Level,1.5
"DHA Defence, Lahore, Punjab",Beaconhouse DHA Campus,O/A Level,2.0
"DHA Defence, Lahore, Punjab",The City School DHA Phase 3,O/A Level,2.3
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Beaconhouse Bahria Town Campus,O/A Level,1.2
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Roots Millennium Bahria Campus,O/A Level,1.8
"Bahria Town, Islamabad, Islamabad Capital",Bahria College Islamabad,Matric/A-Level,2.0
"F-10, Islamabad, Islamabad Capital",Islamabad Model College F-10/3,Matric,1.0
"F-10, Islamabad, Islamabad Capital",Beaconhouse F-10 Campus,O/A Level,1.4
"F-11, Islamabad, Islamabad Capital",Roots Ivy International F-11,O/A Level,1.6
"F-6, Islamabad, Islamabad Capital",Froebel's International School F-6,O/A Level,1.3
"E-11, Islamabad, Islamabad Capital",Islamabad Convent School,Matric,3.0
"G-11, Islamabad, Islamabad Capital",CDA Model School G-11,Matric,1.1
"G-13, Islamabad, Islamabad Capital",Islamabad College for Boys G-6 (nearby),Matric/FSc,3.5
"Johar Town, Lahore, Punjab",The Learning Alliance Johar Town,O/A Level,2.1
"Model Town, Lahore, Punjab",Aitchison College (nearest elite option),O/A Level,4.0
"Faisal Town, Lahore, Punjab",The City School Faisal Town,O/A Level,1.7
