developer_authority,locality_name,city,profile
Bahria Town Pvt. Ltd.,Bahria Town,Rawalpindi,Private developer; master-planned gated community with company-managed maintenance and security across all phases.
Defence Housing Authority (DHA) Lahore,DHA Defence,Lahore,Semi-government housing authority run by the armed forces welfare trust; regulates construction bylaws and transfers directly.
Capital Development Authority (CDA),E-11,Islamabad,"Federal government authority that planned and allots Islamabad's sector grid, including E-11."
Defence Housing Authority (DHA) Islamabad-Rawalpindi,DHA Defence Islamabad,Islamabad,Semi-government housing authority; newer DHA phases along the Islamabad Expressway.
Bahria Town Pvt. Ltd.,Bahria Town Islamabad,Islamabad,Private developer; Islamabad-side extension of the Bahria Town network along the Islamabad Expressway.
Lahore Development Authority (LDA),Johar Town,Lahore,Provincial development authority responsible for planning and infrastructure in Johar Town.
Capital Development Authority (CDA),F-11,Islamabad,Federal authority; one of Islamabad's original planned sectors.
Capital Development Authority (CDA),F-10,Islamabad,Federal authority; one of Islamabad's oldest premium sectors.
Capital Development Authority (CDA),G-11,Islamabad,Federal authority overseeing sector development and utilities.
Ghauri Town (Pvt) Ltd.,Ghauri Town,Islamabad,Private housing scheme developer on the Islamabad Expressway corridor.
Capital Development Authority (CDA),I-10,Islamabad,Federal authority; industrial-adjacent sector.
Airport Housing Society (Cooperative),Airport Housing Society,Rawalpindi,"Cooperative housing society for aviation-sector employees, self-managed with its own society office."
Capital Development Authority (CDA),G-15,Islamabad,Federal authority; newer developing western sector.
Capital Development Authority (CDA),G-13,Islamabad,Federal authority; mid-range planned sector.
Capital Development Authority (CDA),F-6,Islamabad,Federal authority; central diplomatic-enclave-adjacent sector.
Lahore Development Authority (LDA),Faisal Town,Lahore,Provincial authority; established mid-income planned area.
Model Town Society (Cooperative),Model Town,Lahore,"One of the subcontinent's oldest cooperative housing societies, self-governed since 1922."
Lahore Development Authority (LDA),College Road,Lahore,Provincial authority; mixed residential-commercial corridor.
