question,category,answer
What documents are required to buy a property?,Buying,"CNIC copies of buyer and seller, original property documents (registry/intiqal), NOC from the relevant housing authority (e.g., DHA, Bahria Town, CDA), and a token/agreement to sell."
How much token money is usually paid to book a property?,Buying,"Token amounts are negotiated case by case, typically a small percentage of the sale price, and are adjusted into the final payment; exact figures depend on the agreement between buyer and seller."
Can foreigners or overseas Pakistanis buy property in these areas?,Buying,Overseas Pakistanis can generally buy property in Pakistan through legal representatives or in person; specific requirements should be confirmed with the developer/authority for each society.
What is the difference between 'For Sale' and 'For Rent' listings?,General,"'For Sale' listings are for outright purchase; 'For Rent' listings are for leasing, typically with a security deposit and monthly/annual rent as agreed with the landlord."
Are utility bills included in rent?,Renting,This varies by landlord and property; it should be confirmed and stated explicitly in the rental agreement before move-in.
What is the standard security deposit for rentals?,Renting,"Security deposits commonly range from 1-2 months' rent, but this is negotiable between landlord and tenant."
Is the price shown final or negotiable?,General,Listed prices are generally a starting point for negotiation; final price depends on discussion between buyer/tenant and seller/landlord or their RealEstate Hub agent.
How is plot size measured (marla vs sq ft)?,General,"1 Marla = 225 sq ft (approx., varies slightly by region); the knowledge base stores both area_marla and area_sqft for each property."
Can I get a property visit scheduled the same day?,Booking,Same-day visits are subject to agent and property availability; the assistant will check real-time slot availability before confirming.
What happens if I miss my scheduled visit?,Booking,The visit can be rescheduled at no cost; please inform your RealEstate Hub agent as early as possible so the slot can be released for other clients.
Do you offer investment consultancy?,Investment,The assistant can share historical price trends and rental yield estimates drawn from the knowledge base; it does not provide guaranteed return projections or financial advice.
Is DHA or Bahria Town a better investment?,Investment,"This depends on budget, goals, and risk tolerance; the assistant can share historical trend data for both but does not make guarantees about future appreciation."
What are the transfer/registration charges?,Buying,Transfer charges vary by housing authority and property type (typically a percentage of DC value or sale price); exact current rates should be confirmed with the relevant authority at the time of transfer.
Can the assistant negotiate price on my behalf?,General,The assistant can relay offers to your assigned RealEstate Hub agent but cannot finalize a negotiated price; final agreement is between buyer/tenant and seller/landlord.
How often is the property database updated?,General,Listings in this knowledge base reflect the dataset snapshot used for this project; in production this would sync with RealEstate Hub's live inventory on a regular schedule.
What property types are available?,General,"The knowledge base covers Houses, Flats, Upper/Lower Portions, Farm Houses, Penthouses, and Rooms, across Lahore, Islamabad, and Rawalpindi."
Is financing/mortgage assistance available?,Buying,The assistant does not process financing directly; it can note that bank mortgage products exist in the market but cannot recommend or guarantee approval terms.
How do I cancel a scheduled appointment?,Booking,You can request a cancellation at any time before the visit; the assistant will confirm the cancellation and update the calendar and CRM record.
Are commercial properties included in this knowledge base?,General,"This knowledge base snapshot focuses on residential listings (House, Flat, Portion, Farm House, Penthouse); commercial inventory would be a separate dataset in a full production system."
What if a property I ask about is not in the database?,General,"The assistant will say it does not have verified information rather than guessing, and can offer to note the request for a human RealEstate Hub agent to follow up."
