property_id,property_type,purpose,city,locality,location,price,price_bin,area_marla,area_sqft,bedrooms,baths,latitude,longitude,date_added,agent_id,agent
PROP-1000,House,For Sale,Lahore,"College Road, Lahore, Punjab",College Road,8500000,Low,4.0,1089.0,4,3,31.422982,74.281932,02-03-2019,AG-02,Sana Malik
PROP-1001,House,For Rent,Lahore,"Faisal Town, Lahore, Punjab",Faisal Town,220000,Very High,20.0,5445.02,5,5,31.469009000000003,74.30945600000001,07-19-2019,AG-03,Bilal Chaudhry
PROP-1002,House,For Sale,Lahore,"Model Town, Lahore, Punjab",Model Town,70000000,Very High,20.0,5445.02,5,5,31.489944,74.31863299999999,07-03-2019,AG-02,Sana Malik
PROP-1003,House,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,155000,High,20.0,5445.02,5,6,31.46641,74.38362099999999,07-20-2019,AG-02,Sana Malik
PROP-1004,Flat,For Sale,Lahore,"Ferozepur Road, Lahore, Punjab",Ferozepur Road,5000000,Medium,3.7,1007.33,3,2,31.502166,74.333439,01-04-2019,AG-03,Bilal Chaudhry
PROP-1005,House,For Sale,Lahore,"Allama Iqbal Town, Lahore, Punjab",Allama Iqbal Town,45000000,Very High,20.0,5445.02,4,4,31.518337,74.297862,05-03-2019,AG-03,Bilal Chaudhry
PROP-1006,House,For Sale,Lahore,"Tariq Gardens, Lahore, Punjab",Tariq Gardens,27500000,High,10.0,2722.51,6,6,31.420094,74.254174,03-04-2019,AG-01,Ahmed Raza
PROP-1007,Flat,For Rent,Lahore,"Shershah Colony - Ichra, Lahore, Punjab",Shershah Colony - Ichra,25000,Low,3.1,843.98,2,2,31.536335,74.321308,05-25-2019,AG-01,Ahmed Raza
PROP-1008,House,For Sale,Lahore,"T & T Aabpara Housing Society, Lahore, Punjab",T & T Aabpara Housing Society,9000000,Low,6.0,1633.51,5,6,31.413355,74.239926,03-05-2019,AG-03,Bilal Chaudhry
PROP-1009,House,For Sale,Lahore,"Model Town, Lahore, Punjab",Model Town,270000000,Very High,80.0,21780.08,7,8,31.481966,74.313834,06-25-2019,AG-02,Sana Malik
