locality_full,amenity
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Community Park
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Sewerage System
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Gymnasium
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Swimming Pool
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Wide Carpeted Roads
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Underground Electricity
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Mini Golf / Sports Complex
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Water Filtration Plant
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Commercial Plaza Nearby
"DHA Defence, Lahore, Punjab",CCTV Surveillance
"DHA Defence, Lahore, Punjab",Community Park
"DHA Defence, Lahore, Punjab",Underground Electricity
"DHA Defence, Lahore, Punjab",Playground
"DHA Defence, Lahore, Punjab",Solar Street Lights
"DHA Defence, Lahore, Punjab",Mosque
"DHA Defence, Lahore, Punjab",Swimming Pool
"DHA Defence, Lahore, Punjab",Gated Community
"DHA Defence, Lahore, Punjab",Mini Golf / Sports Complex
"DHA Defence, Lahore, Punjab",Sewerage System
"E-11, Islamabad, Islamabad Capital",Wide Carpeted Roads
"E-11, Islamabad, Islamabad Capital",CCTV Surveillance
"E-11, Islamabad, Islamabad Capital",Water Filtration Plant
"E-11, Islamabad, Islamabad Capital",Underground Electricity
"E-11, Islamabad, Islamabad Capital",Playground
"E-11, Islamabad, Islamabad Capital",Solar Street Lights
"E-11, Islamabad, Islamabad Capital",Mosque
"E-11, Islamabad, Islamabad Capital",Sewerage System
"E-11, Islamabad, Islamabad Capital",Gymnasium
"E-11, Islamabad, Islamabad Capital",Gated Community
"DHA Defence, Islamabad, Islamabad Capital",Mosque
"DHA Defence, Islamabad, Islamabad Capital",Commercial Plaza Nearby
"DHA Defence, Islamabad, Islamabad Capital",Sewerage System
"DHA Defence, Islamabad, Islamabad Capital",Solar Street Lights
"DHA Defence, Islamabad, Islamabad Capital",Mini Golf / Sports Complex
"DHA Defence, Islamabad, Islamabad Capital",24/7 Security
"DHA Defence, Islamabad, Islamabad Capital",Wide Carpeted Roads
"Bahria Town, Islamabad, Islamabad Capital",Underground Electricity
"Bahria Town, Islamabad, Islamabad Capital",Solar Street Lights
"Bahria Town, Islamabad, Islamabad Capital",Gymnasium
"Bahria Town, Islamabad, Islamabad Capital",24/7 Security
"Bahria Town, Islamabad, Islamabad Capital",Wide Carpeted Roads
"Bahria Town, Islamabad, Islamabad Capital",Playground
"Johar Town, Lahore, Punjab",Mosque
"Johar Town, Lahore, Punjab",Commercial Plaza Nearby
"Johar Town, Lahore, Punjab",Underground Electricity
