locality_full,city,locality_name,description
"Bahria Town Rawalpindi, Rawalpindi, Punjab",Rawalpindi,Bahria Town,"Large gated community, Phases 1-8, popular with overseas Pakistanis and families seeking modern infrastructure."
"DHA Defence, Lahore, Punjab",Lahore,DHA Defence,"Premium gated cantonment-adjacent society, Phases 1-12, high resale value, strong security."
"E-11, Islamabad, Islamabad Capital",Islamabad,E-11,"Upscale sector near Margalla Hills, mix of houses and modern apartment towers."
"DHA Defence, Islamabad, Islamabad Capital",Islamabad,DHA Defence Islamabad,"Newer DHA phases along Islamabad Expressway, popular with young families."
"Bahria Town, Islamabad, Islamabad Capital",Islamabad,Bahria Town Islamabad,Extension of Bahria network on the Islamabad side of the Expressway.
"Johar Town, Lahore, Punjab",Lahore,Johar Town,"Centrally located middle-to-upper-income residential area, close to Emporium Mall."
"F-11, Islamabad, Islamabad Capital",Islamabad,F-11,"Established elite sector, tree-lined streets, walking distance to Centaurus Mall."
"F-10, Islamabad, Islamabad Capital",Islamabad,F-10,"One of Islamabad's oldest premium sectors, close to Kohsar Market and F-10 Markaz."
"G-11, Islamabad, Islamabad Capital",Islamabad,G-11,"Well-planned middle-income sector, close to G-11 Markaz."
"Ghauri Town, Islamabad, Islamabad Capital",Islamabad,Ghauri Town,"Affordable housing scheme on Islamabad Expressway, popular with first-time buyers."
"I-10, Islamabad, Islamabad Capital",Islamabad,I-10,Industrial-adjacent sector with affordable housing and government-sector residents.
"Airport Housing Society, Rawalpindi, Punjab",Rawalpindi,Airport Housing Society,"Close to Islamabad International Airport, growing residential demand."
"G-15, Islamabad, Islamabad Capital",Islamabad,G-15,Newer developing sector on the western side of Islamabad.
"G-13, Islamabad, Islamabad Capital",Islamabad,G-13,"Mid-range sector, close to G-13 Markaz and NUST university."
"F-6, Islamabad, Islamabad Capital",Islamabad,F-6,"Central diplomatic-enclave-adjacent sector, very high resale value."
"Faisal Town, Lahore, Punjab",Lahore,Faisal Town,Established mid-income residential area near Punjab University.
"Model Town, Lahore, Punjab",Lahore,Model Town,"One of Lahore's oldest planned societies, known for its central park."
"College Road, Lahore, Punjab",Lahore,College Road,Mixed residential-commercial corridor near Township.
